"CI Number"	"Name"	"CI Status"	"Type"	"Manufacturer"	"Model"	"Solution"	"Environnement"	"Server Role"	"Critical Level"	"Supported by company"	"Location (Full)"	"GxP Impact"	"Monitoring"	"Availability"	"PRA"	"Complexity/Application IT Criticity"	"SLA Uplift"	"Technical Support Group"	"Application Support Group"	"Maintenance Group"	"Maintenance Schedule"	
"FWIA78A"	"FWI288"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE"	"0"	"Zabbix (FWI288)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA79A"	"FWI288"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/SHANGHAI/RSS/HUADA OFFICE"	"0"	"Zabbix (FWI288)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA80A"	"FWI252"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/SHANGHAI"	"0"	"Zabbix (FWI252)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA80B"	"FWI252"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/SHANGHAI"	"0"	"Zabbix (FWI252)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA82A"	"FWI254"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"ASIA/CHINA/GZ OFFICE"	"0"	"Zabbix (FWI254)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA82B"	"FWI254"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"ASIA/CHINA/GZ OFFICE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA84A"	"FWI253"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"FortiGate"	"High"	"Fujitsu"	"ASIA/CHINA/BJ OFFICE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIA84B"	"FWI253"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"FortiGate"	"High"	"Fujitsu"	"ASIA/CHINA/BJ OFFICE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIA88A"	"FWI243"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/SINGAPORE/SINGAPORE"	"0"	"Zabbix (FWI243)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA88B"	"FWI243"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/SINGAPORE/SINGAPORE"	"0"	"Zabbix (FWI243)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA90A"	"FWI263"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/NANNING/BLD3"	"0"	"Zabbix (FWI263)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIA96A"	"FWI263"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/NANNING/BLD11"	"0"	"Zabbix (FWI263)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIAAS"	"FWIAAS"	"In production"	"FIREWALL"	"Fortinet"	"Virtual Forti OS"	"FLAN"	"PRD"	"Azure Internal Firewall (Asia)"	"High"	"Fujitsu"	"ASIA/AZURE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"1"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIAEU"	"FWIAEU"	"In production"	"FIREWALL"	"Fortinet"	"Virtual Forti OS"	"FLAN"	"PRD"	"Azure Internal Firewall (Europe)"	"High"	"Fujitsu"	"EUROPE/AZURE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"1"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIAIN"	"FWIAIN"	"In production"	"FIREWALL"	"Fortinet"	"Virtual Forti OS"	"FLAN"	"PRD"	"Azure Internal Firewall (Integration)"	"High"	"Fujitsu"	"EUROPE/AZURE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"1"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIAUS"	"FWIAUS"	"In production"	"FIREWALL"	"Fortinet"	"Virtual Forti OS"	"FLAN"	"PRD"	"Azure Internal Firewall (Americas)"	"High"	"Fujitsu"	"AMERICA/AZURE"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"1"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIB00A"	"FWI241"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"FortiGate"	"High"	"Fujitsu"	"ASIA/JAPAN/TOKYO"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIB00B"	"FWI241"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"FortiGate"	"High"	"Fujitsu"	"ASIA/JAPAN/TOKYO"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIB10A"	"FWI242"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"ASIA/JAPAN/OSAKA"	"0"	"Zabbix (FWE242)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIB10B"	"FWI242"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"ASIA/JAPAN/OSAKA"	"0"	"Zabbix (FWE242)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIB20B"	"FWI287"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"ASIA/SINGAPORE/SINGAPORE R&D"	"0"	"Zabbix (FWE287)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIC00A"	"FWI256"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/KOREA/SEOUL"	"0"	"Zabbix (FWE256)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIC00B"	"FWI256"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/KOREA/SEOUL"	"0"	"Zabbix (FWE256)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWID01A"	"FWI244"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/WUHAN/[B10]"	"0"	"Zabbix (FWI244)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWID06A"	"FWI244"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"ASIA/CHINA/WUHAN/[B9]"	"0"	"Zabbix (FWI244)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII10A"	"FWI275"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/VIRAMGAM"	"0"	"Zabbix (FWI275)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII20A"	"FWI275"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/VIRAMGAM"	"0"	"Zabbix (FWI275)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII30A"	"FWI274"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/PANTNAGAR"	"0"	"Zabbix (FWI274)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII30B"	"FWI274"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/PANTNAGAR"	"0"	"Zabbix (FWI274)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII50A"	"FWI276"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/GOKAK"	"0"	"Zabbix (FWI276)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII50B"	"FWI276"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/GOKAK"	"0"	"Zabbix (FWI276)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII71A"	"FWI273"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/MUMBAI"	"0"	"Zabbix (FWI273)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWII71B"	"FWI273"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"INDIA/INDIA/MUMBAI"	"0"	"Zabbix (FWI273)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIK10A"	"FWI102"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 100E"	"FLAN"	"KLIF"	"Internal Firewall equipment"	"Low"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V6"	"0"	"Zabbix (FWI102)"	"AVAIL3 - 8/18 - 5/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIK10B"	"FWI102"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 100E"	"FLAN"	"KLIF"	"Internal Firewall equipment"	"Low"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/V6"	"0"	"Zabbix (FWI102)"	"AVAIL3 - 8/18 - 5/7"	"R6"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIOOB"	"FWIOOB"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate Cluster"	"OOBI"	"PRD"	"OBAN FORTI Cluster"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIU00A"	"FWI221"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"AMERICA/Mexique/QUERETARO"	"0"	"Zabbix (FWE212)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU00B"	"FWI221"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"High"	"Fujitsu"	"AMERICA/Mexique/QUERETARO"	"0"	"Zabbix (FWE212)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU01A"	"FWI224"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/GENEVA"	"0"	"Zabbix (FWI224)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU01B"	"FWI224"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/GENEVA"	"0"	"Zabbix (FWI224)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU10A"	"FWI297"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/GENEVA/[[GENEVA LAB EXTENSION]]"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU10B"	"FWI297"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 80E POE"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/GENEVA/[[GENEVA LAB EXTENSION]]"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU12A"	"FWI299"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/Lower Gwynedd"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU12B"	"FWI299"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 200E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/Lower Gwynedd"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU18A"	"FWI219"	"In production"	"FIREWALL"	"Fortigate"	"FGT_100F"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/KEOKUK"	"0"	"Zabbix"	"AVAIL1 - 24/24 - 7/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIU19A"	"FWI219"	"In production"	"FIREWALL"	"Fortigate"	"FGT_100F"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/USA/KEOKUK"	"0"	"Zabbix"	"AVAIL1 - 24/24 - 7/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	""	""	""	
"FWIU65A"	"FWI294"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 500E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/CANADA/PORTAGE LA PRAIRIE/[[MAIN GUARD HOUSE 1 & TRUCKS RECEPTION]]/[[I.T. ROOM]]/[[IT Rack 3]]"	"0"	"Zabbix (FWI294)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU70A"	"FWI294"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 500E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/CANADA/PORTAGE LA PRAIRIE/[[ADMIN BUILDING]]/[[I.T. Room]]/[[Rack 3]]"	"0"	"Zabbix (FWI294)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU80A"	"FWI92B"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 500E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/BRESIL/ITAPEVI"	"0"	"Zabbix (FWI92B)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FWIU90A"	"FWI92B"	"In production"	"FIREWALL"	"Fortinet"	"Fortigate 500E"	"FLAN"	"PRD"	"Internal Firewall equipment"	"Medium"	"Fujitsu"	"AMERICA/BRESIL/ITAPEVI"	"0"	"Zabbix (FWI92B)"	"AVAIL1 - 24/7"	"R6"	"Average"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"FW-ROQUETTE-LESTREM-SIEM1"	"FW-ROQUETTE-LESTREM-SIEM1"	"In production"	"SOC"	"Fortinet"	"Fortigate 100E"	"ESOC"	"PRD"	"Firewall"	"Medium"	"Roquette"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/Y7"	"0"	"No"	"AVAIL1 - 24/7"	"None"	"None"	"0"	"CORP_ADM_SECURITY"	""	""	""	
"FW-ROQUETTE-LESTREM-SIEM2"	"FW-ROQUETTE-LESTREM-SIEM2"	"In production"	"SOC"	"Fortinet"	"Fortigate 100E"	"ESOC"	"PRD"	"Firewall"	"Medium"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/H6"	"0"	"No"	"AVAIL1 - 24/7"	"R2"	"None"	"0"	"CORP_ADM_NET"	""	""	""	
"GEN-VC-INNOVATION"	"GEN-VC-INNOVATION"	"In production"	"VCNF"	"Logitech"	"Logitech Tap Windows"	"VCNF"	"PRD"	"Teams"	"Low"	"Fujitsu"	"AMERICA/USA/GENEVA"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"LT-Panevezys_Lithuania-Amilina-LAB"	"LT-Panevezys_Lithuania-Amilina-LAB"	"In production"	"VCNF"	"Poly"	"Studio X30"	"VCNF"	"PRD"	"Teams"	"Low"	"Fujitsu"	"EUROPE/LITUANIE/PANEVEZYS"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_DMW_L3"	""	""	
"M200D15A"	"M200D15A"	"In production"	"PHYSICAL SERVER"	"Cisco"	"UCS X9508 Chassis"	"INFRA"	"PRD"	"UCS Chassis - SAP Systems"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15"	"1"	"Zabbix"	"AVAIL1 - 24/7"	"S3"	"None"	"1"	"CORP_ISC_Virtualization"	"CORP_ADM_SYS"	""	""	
"M200D15B"	"M200D15B"	"In production"	"PHYSICAL SERVER"	"Cisco"	"UCS X9508 Chassis"	"INFRA"	"PRD"	"UCS Chassis - SAP Systems"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D15"	"1"	"Zabbix"	"AVAIL1 - 24/7"	"S3"	"None"	"1"	"CORP_ISC_Virtualization"	"CORP_ADM_SYS"	""	""	
"M200D24B"	"M200D24B"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER CHASSIS E 8677"	"BLAD"	"PRD"	"Chassis"	"High"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B"	"0"	"No"	"AVAIL1 - 24/7"	"NULL"	"None"	"0"	"CORP_ADM_SYS"	""	""	""	
"M200D24B-HS12_3"	"M200D24B-HS12_3"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER HS12  QUAD CORE 2.5 Ghz - 802854G"	"BLAD"	"PRD"	"IBM Blade Spare"	"Low"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"NULL"	"None"	"0"	"CORP_ADM_STORAGE"	""	""	""	
"M200D24B-HS20_7"	"M200D24B-HS20_7"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER HS20  8843-11Y"	"BLAD"	"PRD"	"IBM Blade Spare"	"Low"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"NULL"	"None"	"0"	"CORP_ADM_STORAGE"	""	""	""	
"M200D24B-HS21_12"	"M200D24B-HS21_12"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER HS21 QUAD CORE 2.0Ghz - 8853G1G"	"BLAD"	"PRD"	"IBM Blade Spare"	"Low"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D24B"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"NULL"	"None"	"0"	"CORP_ADM_STORAGE"	""	""	""	
"M200D25B"	"M200D25B"	"In production"	"PHYSICAL SERVER"	"Hewlett Packard"	"BLADE CENTER CHASSIS HP C7000"	"INFRA"	"PRD"	"Chassis HP"	"High"	"Roquette"	"EUROPE/FRANCE/LESTREM/DT2/N 1/SALLE INFORMATIQUE 1/D25"	"0"	"No"	"AVAIL1 - 24/7"	"NULL"	"None"	"0"	"CORP_ADM_SYS"	""	""	""	
"M235L09B"	"M235L09B"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER CHASSIS E 8677"	"INFRA"	"PRD"	"Chassis"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B"	"0"	"No"	"AVAIL1 - 24/7"	"NULL"	"None"	"0"	"CORP_ISC_Wintel"	""	""	""	
"M235L09B-HS12"	"M235L09B-HS12"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER HS12  QUAD CORE 2.5 Ghz - 802854G"	"BLAD"	"PRD"	"IBM SPARE Blade"	"Low"	"Roquette"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"NULL"	"None"	"0"	"CORP_ADM_SYS"	""	""	""	
"M235L09B-HS20"	"M235L09B-HS20"	"In production"	"PHYSICAL SERVER"	"IBM"	"BLADE CENTER HS20  8843-11Y"	"BLAD"	"PRD"	"SPARE IBM Blade"	"Low"	"Roquette"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/L09B"	"0"	"No"	"AVAIL3 - 8/18 - 5/7"	"NULL"	"None"	"0"	"CORP_ADM_SYS"	""	""	""	
"M235P13A"	"M235P13A"	"In production"	"PHYSICAL SERVER"	"Cisco"	"UCS X9508 Chassis"	"INFRA"	"PRD"	"UCS Chassis - SAP Systems"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13"	"1"	"Zabbix"	"AVAIL1 - 24/7"	"S3"	"None"	"1"	"CORP_ISC_Virtualization"	"CORP_ADM_SYS"	""	""	
"M235P13B"	"M235P13B"	"In production"	"PHYSICAL SERVER"	"Cisco"	"UCS X9508 Chassis"	"INFRA"	"PRD"	"UCS Chassis - SAP Systems"	"High"	"Fujitsu"	"EUROPE/FRANCE/LESTREM/ALPHA 2/N 1/SALLE INFORMATIQUE 2/P13"	"1"	"Zabbix"	"AVAIL1 - 24/7"	"S3"	"None"	"1"	"CORP_ISC_Virtualization"	"CORP_ADM_SYS"	""	""	
"NAC103A"	"NAC103A"	"In production"	"SECURITY APPLIANCE"	"Forescout"	"CT2000F2"	"NACI"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VECQUEMONT"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"NAC109A"	"NAC109A"	"In production"	"SECURITY APPLIANCE"	"Forescout"	"CT-5140"	"NACI"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/BEINHEIM"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"NAC118A"	"NAC118A"	"In production"	"SECURITY APPLIANCE"	"Forescout"	"CT1000F2-50"	"NACI"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/VIC SUR AISNE/ADMINISTRATIF/N 0/SALLE INFORMATIQUE 2"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
"NAC130A"	"NAC130A"	"In production"	"SECURITY APPLIANCE"	"Forescout"	"CT1000F2-50"	"NACI"	"PRD"	""	"Low"	"Fujitsu"	"EUROPE/FRANCE/LA MADELEINE/REPUBLIQUE/R+4"	"0"	"Zabbix"	"AVAIL1 - 24/7"	"None"	"Low"	"0"	"CORP_ISC_Network"	"CORP_ADM_NET"	""	""	
